Word,Meaning,Type,Audio,Sentence,,,,
cerebral,involving intelligence rather than emotions or instinct,adjective,https://lex-audio.useremarkable.com/mp3/cerebral_us_1.mp3,a cerebral hemorrhage,0,serious,serious-minded,solemn
irascible,quickly aroused to anger,adjective,https://lex-audio.useremarkable.com/mp3/irascible_us_1.mp3,an irascible man,0,irritable,quick-tempered,short-tempered
antedate,be earlier in time than,transitive verb,https://lex-audio.useremarkable.com/mp3/antedate_us_2.mp3,a civilization that antedated the Roman Empire,0,precede,predate,come before
buttress,make stronger or defensible,transitive verb,https://lex-audio.useremarkable.com/mp3/buttress_us_1.mp3,we buttressed the wall as it was showing signs of cracking and collapse,0,reinforce,fortify,strengthen
prevail,"be larger in number, quantity, power, status or importance",intransitive verb,https://lex-audio.useremarkable.com/mp3/prevail_us_1.mp3,it is hard for logic to prevail over emotion,0,win,win out,win through
analogous,similar or equivalent in some respects,adjective,https://lex-audio.useremarkable.com/mp3/analogous_us_1.mp3,they saw the relationship between a ruler and his subjects as analogous to that of father and children,0,comparable,parallel,similar
uncanny,suggesting the operation of supernatural influences,adjective,https://lex-audio.useremarkable.com/mp3/uncanny_us_1.mp3,an uncanny feeling that she was being watched,0,eerie,unnatural,preternatural
begrudge,be envious of or feel annoyance toward,verb,https://lex-audio.useremarkable.com/mp3/begrudge_us_2.mp3,she begrudged Martin his affluence,0,envy,grudge,resent
industrious,characterized by hard work and perseverance,adjective,https://lex-audio.useremarkable.com/mp3/industrious_us_1.mp3,an industrious people striving to make their country prosperous,0,hard-working,diligent,assiduous
evenhanded,without partiality,adjective,https://lex-audio.useremarkable.com/mp3/even_handed_1_gb_1.mp3,an even-handed approach to industrial relations,0,fair,just,equitable
preempt,take the place of or have precedence over,transitive verb,https://lex-audio.useremarkable.com/mp3/preempt_us_1.mp3,the government preempted a coup attempt,0,occupy,forestale,take over
rakish,marked by a carefree unconventionality or disreputableness,adjective,https://lex-audio.useremarkable.com/mp3/rakish_us_1.mp3,"he had a rakish, debonair look",0,dashing,debonair,sporty
conundrum,a difficult problem,noun,https://lex-audio.useremarkable.com/mp3/xconundrum_us_1.mp3,one of the most difficult conundrums for the experts,0,problem,difficult question,vexed question
cavalier,showing a lack of concern or seriousness,noun,https://lex-audio.useremarkable.com/mp3/cavalier_us_2.mp3,Those loyal to Parliament were called Roundheads; those loyal to the king were Cavaliers.,0,indifferenet,casual,dismissive
avert,turn away or aside,transitive verb,https://lex-audio.useremarkable.com/mp3/avert_us_1.mp3,she averted her eyes during the more violent scenes,0,turn aside,turn away,turn to one side
belittle,"lessen the authority, dignity, or reputation of",transitive verb,https://lex-audio.useremarkable.com/mp3/belittle_us_1.mp3,this is not to belittle his role,0,disparage,denigrate,run down
humdrum,tediously repetitious or lacking in variety,noun,https://lex-audio.useremarkable.com/mp3/humdrum_us_1.mp3,an escape from the humdrum of his life,0,weariness,ennui,lack of enthusiasm
melancholy,a constitutional tendency to be gloomy and depressed,noun,https://lex-audio.useremarkable.com/mp3/melancholy_us_1.mp3,an air of melancholy surrounded him,0,desolation,sadness,pensiveness
incumbent,necessary as a duty or responsibility; morally binding,noun,https://lex-audio.useremarkable.com/mp3/incumbent_us_1.mp3,the present incumbent will soon be retiring,0,holder,bearer,occupant
ascribe,attribute or credit to,transitive verb,https://lex-audio.useremarkable.com/mp3/ascribe_us_1.mp3,he ascribed Jane's short temper to her upset stomach,0,attribute,assign,put down
cohesive,combining well to form a unified whole,adjective,https://lex-audio.useremarkable.com/mp3/cohesive_us_1.mp3,each parish was formerly a cohesive unit,0,sticky,sticking,adhering
implicate,bring into intimate and incriminating connection,transitive verb,https://lex-audio.useremarkable.com/mp3/implicate_us_1.mp3,police claims implicated him in many more killings,0,suggest,imply,insinuate
piquant,having an agreeably pungent taste,adjective,https://lex-audio.useremarkable.com/mp3/piquant_us_1_rr.mp3,a piquant tartare sauce,0,spicy,tangy,spiced
glean,"gather, as of natural products",transitive verb,https://lex-audio.useremarkable.com/mp3/glean_us_1.mp3,the information is gleaned from press clippings,0,obtain,get,take
veneer,coating consisting of a thin layer of wood,transitive verb,https://lex-audio.useremarkable.com/mp3/veneer_us_1.mp3,factories employed cabinetmakers to veneer looking glasses,0,cover,clad,veneer
eccentric,conspicuously or grossly unconventional or unusual,noun,https://lex-audio.useremarkable.com/mp3/eccentric_us_1.mp3,he enjoys a colorful reputation as an engaging eccentric,0,unconventional,odd,peculiar
clemency,leniency and compassion shown toward offenders,noun,https://lex-audio.useremarkable.com/mp3/clemency_us_1.mp3,an appeal for clemency,0,mercy,mercifulness,leniency
delegate,give an assignment to or assign a task to,transitive verb,https://lex-audio.useremarkable.com/mp3/delegate_us_1.mp3,the power delegated to him must never be misused,0,assign,entrust,give
foolhardy,marked by defiant disregard for danger or consequences,adjective,https://lex-audio.useremarkable.com/mp3/foolhardy_us_1.mp3,it would be foolhardy to go into the scheme without support,0,reckless,rash,incautious
redress,make reparations or amends for,transitive verb,https://lex-audio.useremarkable.com/mp3/redress_us_4.mp3,the power to redress the grievances of our citizens,0,rectify,correct,make right
coalesce,fuse or cause to come together,intransitive verb,https://lex-audio.useremarkable.com/mp3/coalesce_us_1.mp3,the puddles had coalesced into shallow streams,0,unite,join together,combine
